Review_title,Date,Body,Star_rating,Comments
Average,Reviewed in India 🇮🇳 on 28 October 2022,Good at the price point. Try to buy in the sale if you find a good deal.,4,1
Osm quality product,Reviewed in India 🇮🇳 on 25 October 2022,"Love it and I've only had it for 3 days. Tracks my steps tracks my sleep, does everything it says. I had a galaxy watch and honestly like this better. I have it connected to Google fit and it syncs perfectly",4,1
awesome,Reviewed in India 🇮🇳 on 29 October 2022,this is awesome 👍thanks Amazon,4,1
One of the best build quality of this price range,Reviewed in India 🇮🇳 on 6 October 2022,The heart rate sensor is 90% to 85% accurateI tested itThere is not a big problem in itTo be honest and saw the other reviews in which they said the battery is not goodBut in my face it looks like a normal batteryI am still at 80%I used yesterday all day the only thing I did is lower the brightness to save up the batteryBut in which case when I try to upload my custom wallpaper it is a bit problemWhich the wallpaper is there in cropped properly by the app and it is looking bad other than find any problem,4,1
Alhamdulillah It's amazing looking and Very comfortable to wear😍,Reviewed in India 🇮🇳 on 27 October 2022,It's touch screen and accuracy or battery life and very easy to access,4,1
Battery backup is poor,Reviewed in India 🇮🇳 on 31 October 2022,Bluetooth connectivity issue,4,0
It's great,Reviewed in India 🇮🇳 on 31 October 2022,,4,1
Battery support very bad,Reviewed in India 🇮🇳 on 29 October 2022,Battery support is very bad,4,0
Buletooth range is not so high,Reviewed in India 🇮🇳 on 23 October 2022,Touch is not working properly may be fix by updates otherwise all thing is good in this price range,4,0
Activity reading is inaccurate,Reviewed in India 🇮🇳 on 21 October 2022,"I was travelling in bus, I recognised the watch calculating steps. I travelled for about 150 km in bus, and found that more than 10,000 steps were counted during journey. I understand that the road wasn’t good with path holes. But I found this to be very sensitive as it calculated huge number when I have actually not moved.Call quality, speaker is good. But UI seems to be very average, not so appealing. Even sleep tracking starts if you are just using phone before sleep and don’t move much.",3,0
Nice,Reviewed in India 🇮🇳 on 28 October 2022,Nice,4,1
Everything is nice,Reviewed in India 🇮🇳 on 28 October 2022,Superb touch,4,1
Very Nice,Reviewed in India 🇮🇳 on 25 October 2022,Good Product But Get down early,4,1
Nice,Reviewed in India 🇮🇳 on 28 October 2022,No that expected lite weight,4,1
Quality is good,Reviewed in India 🇮🇳 on 29 October 2022,"The media could not be loaded.
                



 Display quality is awesome...even falling from 6 feet no damage found....colour is awesome....only touch is not satisfactory as other product has.....",4,1
Value for money,Reviewed in India 🇮🇳 on 26 October 2022,So far so good,4,1
Not bad,Reviewed in India 🇮🇳 on 25 October 2022,Battery backup is low,4,0
"Phone and watch pairing found difficult, and also not getting the notifications correctly",Reviewed in India 🇮🇳 on 20 October 2022,"Phone and watch pairing found difficult, and also not getting the notifications correctly",4,0
Battery backup very poor. Not even stay for 24 hours!!,Reviewed in India 🇮🇳 on 19 October 2022,"I have night 2 nos, but this time not worth.",4,0
Good,Reviewed in India 🇮🇳 on 25 October 2022,,4,1
Nice,Reviewed in India 🇮🇳 on 24 October 2022,Ok,4,1
Look is awesome and it suits for showoff !!,Reviewed in India 🇮🇳 on 7 October 2022,"Look is awesome, display is good even in Bright sun light.Poor sensors, it can detect spo2 and heart rate for all non living things(Chait, table, plastic box, steel)Software is in the Watch is poor for this price.Boat App for this watch is also very poor, only one customised watch face can be saved in the App or watch, next time when you need the same watch face again you need to customize it.nothing great to say apart from watch premium look and display.",3,1
1 day Battery backup,Reviewed in India 🇮🇳 on 16 October 2022,1 day battery backup,4,0
Over all excellent,Reviewed in India 🇮🇳 on 25 October 2022,Good,4,1
Battery type c is better,Reviewed in India 🇮🇳 on 15 October 2022,I like this watch,4,1
Good product..,Reviewed in India 🇮🇳 on 11 October 2022,"Totally good watch.But,few calling issues are their.Other wise good and value for money watch",4,1
Boat wave call smart watch,Reviewed in India 🇮🇳 on 29 September 2022,"A great product comes with a great price in this offer, Literally other e-commerce website does not gave this product in this low cost many many thanks Amazon for this. Wave call is perfect as a calling watch in low cost, the speaker and mic is accurate and other features are also working good design and build quality is also outstanding in this price range, so again thanks to amazon as well as boat. And at last I have to say about the delivery boy his behavior is very good.",4,1
Battery,Reviewed in India 🇮🇳 on 19 October 2022,Battery backup only 8 hors,4,0
This watch is no charge,Reviewed in India 🇮🇳 on 15 October 2022,This watch is no charge,4,0
budget BT calling smartwatch,Reviewed in India 🇮🇳 on 6 September 2022,"This wave call Bluetooth smart watch is a budget friendly which is powered by 'Boat'. The main feature that I loved is its Bluetooth calling feature. The Bluetooth connectivity is like less than 3 seconds which is a bit faster. Although it is a LCD display it has high brightness and good display quality. The speakers are loud enough for my use. The heart rate sensor is accurate as expected. The build quality seems good and perfectly fitted to my hand. The UI is simple to use. Music controlling, Spo2 and so many sports modes are working fine. The battery backup given is 10 days, a good thing while travelling. And the boat wearables app is useful for a better customization of the smartwatch. Overall I simply like this wave call smartwatch and I would suggest who are searching for a budget friendly Bluetooth calling smartwatch, simply go for it.",4,0
Nice,Reviewed in India 🇮🇳 on 18 October 2022,Super,4,1
Naga Tenali,Reviewed in India 🇮🇳 on 24 October 2022,Good quality,4,1
They didn't send the charger with the watch.,Reviewed in India 🇮🇳 on 13 October 2022,Boat smart watch is good but I didn't get the charging cable. I am asking to give the charger which should be there in the package that was not there. Also I go through the return or replace option but nothing is happening.,4,0
nice watch for that price,Reviewed in India 🇮🇳 on 18 October 2022,not bad product ...value for that price,4,1
Value for money,Reviewed in India 🇮🇳 on 19 October 2022,Value for money. Chanting is good,4,1
Good in comparison with Fireboltt.,Reviewed in India 🇮🇳 on 10 October 2022,Used fireboltt watch but was not satisfied with the cost vs features and no response from customer care. But boat watch is nice to use and felt good using it. Value for money product.,4,1
Gud,Reviewed in India 🇮🇳 on 17 October 2022,,4,1
Good by restricted features.,Reviewed in India 🇮🇳 on 16 October 2022,You can't put it on silent.,4,1
Good quality,Reviewed in India 🇮🇳 on 13 October 2022,Overall valuable product... Good sound quality. Even calls are Cristal clear,4,1
This is nice but whenever connected through BT at that time it's drains too faster.,Reviewed in India 🇮🇳 on 12 October 2022,This is nice in that price cap. but I think should have more battery Life over all was nice 👍,4,1
Features not nce,Reviewed in India 🇮🇳 on 16 October 2022,"There not have Alexa , Google any voice assistant . And there low performance after we tap",4,0
Noise cancellation not available,Reviewed in India 🇮🇳 on 25 October 2022,"The media could not be loaded.
                



 As mentioned in the features noice cancellation but its not provided in the product overall good product",4,0
Watch not working more then 12 hrs,Reviewed in India 🇮🇳 on 8 October 2022,Battery life is very low and it's not working minimum 2 day's.,4,0
best smart watch it very good,Reviewed in India 🇮🇳 on 10 October 2022,Accurate is not good and battery life is good touch screen very good,4,0
"Very smooth touch good quality, and reasonable price.",Reviewed in India 🇮🇳 on 13 October 2022,I like it.,4,1
Nice,Reviewed in India 🇮🇳 on 17 October 2022,Nice and gud battery,4,1
Good,Reviewed in India 🇮🇳 on 19 October 2022,,4,1
Nice watch,Reviewed in India 🇮🇳 on 10 October 2022,Low budget smart watch. Not bad.,4,1
Battery defect,Reviewed in India 🇮🇳 on 7 October 2022,"Battery is not at all good ,battery life is just 1hr and charges within 10 minutes.",4,0
Good product at this price.,Reviewed in India 🇮🇳 on 15 October 2022,B T calling and sports features plus heart n blood moniter.,4,1
Good,Reviewed in India 🇮🇳 on 14 October 2022,Nice,4,1
Boat wave smartwatch is good,Reviewed in India 🇮🇳 on 16 October 2022,,4,1
Not proper Work in App,Reviewed in India 🇮🇳 on 9 October 2022,Some gud work All service but not properly usse discount in Apps Any time. Plz some improve Service,4,0
Bluetooth connection problem please rectify,Reviewed in India 🇮🇳 on 12 October 2022,Bluetooth connecting problem i am face this problem,4,0
Nice 😘,Reviewed in India 🇮🇳 on 13 October 2022,Good bit work slow,4,1
Amazing at low price,Reviewed in India 🇮🇳 on 7 October 2022,I got the watch in offer and its amazing to have call even call feature in the watch,4,1
Nice quality 😊,Reviewed in India 🇮🇳 on 5 October 2022,Super product but battery is drain  very fast.. or all features are good 👍..,4,0
Smart watch amazing,Reviewed in India 🇮🇳 on 16 October 2022,,4,1
All good but battery do not last a day,Reviewed in India 🇮🇳 on 11 October 2022,Every Feature works precisely.The battery do not last a single day,4,0
Good product,Reviewed in India 🇮🇳 on 16 October 2022,Low price and good quality,4,1
Good style,Reviewed in India 🇮🇳 on 17 October 2022,Good value for money,4,1
Great for beginner,Reviewed in India 🇮🇳 on 29 October 2022,"The watch is good, with decent visibility. Calling feature is great.The bluetooth connectivity is finicky.Watch faces are seriously limited. Design your own watch face places tiny text which is not easy to read.Overall average features, most issues are software related and hopefully will be fixed via updates.",3,1
Good,Reviewed in India 🇮🇳 on 11 October 2022,Nice,4,1
I'm very disappointed Amazon packaging. very bad. device box to much hamper for packing.,Reviewed in India 🇮🇳 on 10 October 2022,at this price device is ok.,4,1
Call Function,Reviewed in India 🇮🇳 on 30 September 2022,"Touch screen is excellent ,Battery life also good without bt calling, not able to set the music controll Brightness is very good even full of light area ,then all features r good i give 4 star at the end value for money",4,1
Not so accurate as showed in images.,Reviewed in India 🇮🇳 on 5 October 2022,Not so accurate as showed in images. Tracking is moderate. Build quality is good.,4,0
Very good watch,Reviewed in India 🇮🇳 on 7 October 2022,,4,1
This is best watch under 2k budget ..... thank you Boat and Amazon ❤️,Reviewed in India 🇮🇳 on 1 October 2022,"The media could not be loaded.
                



 All things are working call outgoing and incoming features Good and Good Battery 🔋 life and smooth watch finally this watch for students, teachers,young stars .there is no any negative feedback From this watch and under this budget ....this gonna very helpful to Us❤️",4,1
GOOD,Reviewed in India 🇮🇳 on 13 October 2022,I LIKE IT,4,1
Calling function and loud speaker,Reviewed in India 🇮🇳 on 9 October 2022,Super product from boat,4,1
I don't hope that about this watch really this watch is very nice and their looks are very good,Reviewed in India 🇮🇳 on 2 October 2022,This watch is really very nice and very good quality of material in this watch,4,1
Super,Reviewed in India 🇮🇳 on 7 October 2022,Battery life poorTouch screen poor,4,1
Super,Reviewed in India 🇮🇳 on 8 October 2022,Very good,4,1
Good,Reviewed in India 🇮🇳 on 13 October 2022,,4,1
Good one👍,Reviewed in India 🇮🇳 on 11 October 2022,,4,1
Good.,Reviewed in India 🇮🇳 on 8 October 2022,No need to replace. It's working now.,4,1
Good,Reviewed in India 🇮🇳 on 10 October 2022,Battery life bahut kam hai,4,1
Very good product,Reviewed in India 🇮🇳 on 4 October 2022,"Touch screen good, accuracy is ok compare to other products, battery life is also ok,but audio is soo good i love audio of watch",4,1
Good,Reviewed in India 🇮🇳 on 12 October 2022,Good,4,1
Product is awesome...,Reviewed in India 🇮🇳 on 12 October 2022,,4,1
Good,Reviewed in India 🇮🇳 on 27 October 2022,"The media could not be loaded.
                



 Good",4,1
Watch is very good but lock pin colour are different,Reviewed in India 🇮🇳 on 13 October 2022,"The media could not be loaded.
                



 Watch look is very good and work very well . but  watch lock pin colour are different.  Please send correct item",4,1
An excellent watch with health monitoring and calling capabilities at a great price,Reviewed in India 🇮🇳 on 26 October 2022,"There is no doubt that this is one of the finest smartwatches in the budget range.This watch has an ultra-slim body which is light in weight and gives a premium look. The seamless body and build quality are fantastic. The display on this smartwatch is amazing, and it works well both indoors and outdoors.Talking about its features, the call feature works decently and the mic and speaker quality is enhanced. Other features such as heart rate, blood oxygen level, and sleep monitor are also properly functioning. However, as they say in the description, this is not a medical grade smart watch. However, it is almost accurate in heart rate and spo2.Another thing that makes it so impressive is its battery life. It lasts up to 8-10 days without Bluetooth and up to 2-3 days with Bluetooth enabled. It was a surprise to see the quality of BT's calls. BT Calling stands out for its price. This product is truly amazing.The impressions after wearing this are pleasant and quite positive. Loved it.",5,1
Sound and Callig future working is awesome,Reviewed in India 🇮🇳 on 4 October 2022,Calling future and it's working,4,1
Good,Reviewed in India 🇮🇳 on 2 October 2022,"The range of Bluetooth connection is not much, calling feature is nice,overall a good looking watch.",4,1
Best watch ❤️,Reviewed in India 🇮🇳 on 7 October 2022,Best watch,4,1
Good one. Worth the price Rs1669.,Reviewed in India 🇮🇳 on 30 September 2022,2 days of usage. Worth the money and meets expectations. Bluetooth calling is awesome with good speaker quality. Battery not draining much even with bluetooth calling.Will post a long term review later.,4,1
Calling option,Reviewed in India 🇮🇳 on 25 October 2022,"The media could not be loaded.
                



 Good",4,1
Ok ok watch,Reviewed in India 🇮🇳 on 6 October 2022,Ok ok,4,0
Not that good,Reviewed in India 🇮🇳 on 12 October 2022,"Waste of money. I have paid 3000 for this watch. Sometimes it connects and sometimes not. Sometimes after connecting also, in the app it shows not connected. Screen is very poor. I don't know whether i got defected product or this watch is not good.",3,0
Battery backup not 7days,Reviewed in India 🇮🇳 on 7 October 2022,No,4,0
👌,Reviewed in India 🇮🇳 on 3 October 2022,👍,4,1
Software is very bad,Reviewed in India 🇮🇳 on 22 October 2022,"Software experience is very bad.when you call directly from your phone, the watch is showing call details like Phone number and call voice is also playing on watch.",3,0
I think this watch too good calling watch under 2500 rupees so you may go for buy,Reviewed in India 🇮🇳 on 4 October 2022,"The media could not be loaded.
                



 I think battery can create problem and in other too good touch screen parform so well and accuracy not too good but good",4,1
Good product 👍,Reviewed in India 🇮🇳 on 6 October 2022,Good product 👍,4,1
Good,Reviewed in India 🇮🇳 on 28 September 2022,Touch is very slow..battery life good...Packaging was very very bad...watch came out from actual place.wrapper also not stick on the screen.....,4,1
Strap is 20 mm or 40 mm,Reviewed in India 🇮🇳 on 6 October 2022,I like it,4,1
"Good battery life, bright display",Reviewed in India 🇮🇳 on 22 September 2022,"The wave call was good with it touch sensitive and good battery life as they claimed. But while switching on Bluetooth calling feature and using it for call the battery comes for just two days.Normal usage it lasts for 7days easily like using for notifications, call answering, declining.I rate 5 for battery, 4.5 for screen n touch.",4,1
Good looking,Reviewed in India 🇮🇳 on 8 October 2022,Good,4,1
everything is good but as the brand claim battery about 7-10 days its only 2-3 day battery backup,Reviewed in India 🇮🇳 on 2 October 2022,battery is too bad as the brand claim,4,1
Heart rate,Reviewed in India 🇮🇳 on 29 October 2022,Ye watch table ka bhi heart rate dikhati hai..........pan youtube ke video bolte hai ki vo check nahi karti par meri vali check karti hai,3,1
It is good at this price range,Reviewed in India 🇮🇳 on 26 July 2022,"The media could not be loaded.
                



 Prebooked and got the product with in 48 hrs. Initial impressions are: Product is looking good and Features accuracy is also great.Got an in build speaker which is very loud you can easily use it.Speaker Quality is also niceDisplay is really bright, you can use it bright sun light too.Got some good features too.watch can be disconnected from call feature too.but cons are:1. There is an issue with app may be which is causing the faces change automatically.2. Watch faces provided were terrible (in my opinion)3. Touch sensitivity while dialing is a bit hard you need to maintain your accuracy here4. 10 Contacts can only be saved.thats it. at this range boat is giving a more than great deal. Jump to get it if you are looking for a smart watch.",4,1
"Why for order one item two orders generated , I canceled 2nd one, but product rating moderate",Reviewed in India 🇮🇳 on 28 September 2022,Overall good,4,1
Incoming Call function,Reviewed in India 🇮🇳 on 13 October 2022,"Unable to take call from watch. Image shown Green symbol also, but in getting call Watch'shows only Red symbol i.e fir Decline call.Also other Functions like Music, sports etc yet to be explored",3,0
Fully satisfied but display color-contrast issue,Reviewed in India 🇮🇳 on 24 September 2022,"Nice fit for skinny hand like me, touch good, brightness too high,well connected,phone call performance really good but lcd colour contrast poor,Blood pressure features not available... otherwise very good product.",4,1
Value for money,Reviewed in India 🇮🇳 on 30 September 2022,Budget watch,4,1
Good,Reviewed in India 🇮🇳 on 27 September 2022,Good,4,1
Awesome product,Reviewed in India 🇮🇳 on 27 September 2022,"Good battery life without call, with call only 1 day.If u talk non stop on call battery wil drain in just 30mins to 1 hrOver all good product my first smartwatch.",4,1
Regarding Bluetooth connectivity,Reviewed in India 🇮🇳 on 28 October 2022,"When I am trying to connect watch via boat wearable it's not connecting ,means not pairing with mobile.",3,0
Good,Reviewed in India 🇮🇳 on 30 September 2022,Good,4,1
about calling,Reviewed in India 🇮🇳 on 10 October 2022,we can not pick up the call with that watch if you are using Iphone 😐,3,0
Good quality product in cheap price,Reviewed in India 🇮🇳 on 31 October 2022,"The smartwatch is amazing.The 1.69"" hd display looks great in outdoors.The most highlighting feature of the watch is it supports Bluetooth calling and I can read notification also.There are lots of amazing watch faces and we can customise the faces too.The 7 day battery life with Bluetooth connectivity it's battery life less shorter due to its massive 220mah battery.This was my first smartwatch from boat and I must say I loved it.It has many sports mode which helps me to improve my health.I am completely satisfied with my purchase simply go for it.",5,1
Good product screen to body ratio should be better,Reviewed in India 🇮🇳 on 13 October 2022,Received today it seems good till the time but screen to body ratio is not satisfactory it should be computable,3,1
Best,Reviewed in India 🇮🇳 on 19 September 2022,Best,4,1
Good product,Reviewed in India 🇮🇳 on 23 September 2022,Battery performance good,4,1
Ye to sofa ka bhi heart rate bata raha he🤣,Reviewed in India 🇮🇳 on 19 October 2022,Ye to sofa ka bhi heart rate bata raha he🤣,3,1
Connectivity issue through app,Reviewed in India 🇮🇳 on 14 October 2022,Connectivity issue through app. Reinstall app after that working,3,0
Very cheap.,Reviewed in India 🇮🇳 on 12 October 2022,The battery life is very poor. Except battery all are good.,3,1
Good product,Reviewed in India 🇮🇳 on 25 October 2022,I gifted this for my sister. She loved it very much it's her first smartwatch. And calls support was good the sound from the speakers were very loud reduce the sound as per your liking.Screen size is also big and and it's not made for small hands. Watch UI is also smooth i didn't find any lags. Not recommended for accurate fitness tracking but it works for the price.Battery life is decent i haven't charged it from when i bought it 3 days ago.For anyone who is looking to purchase a watch with calling and to see notifications can definitely go for it.,5,1
Whatsapp and SMS notification are received on phone also can Not count sleep data,Reviewed in India 🇮🇳 on 27 September 2022,"The media could not be loaded.
                



 Battery is working only two days",4,0
Not Bad,Reviewed in India 🇮🇳 on 26 September 2022,Not Bad Not Good. Above average smartwatch.,4,0
Recommended to everyone.,Reviewed in India 🇮🇳 on 12 September 2022,Reviewing after one month of use. Working fine. Sound quality is excellent. Thumbs-up to boat.,4,1
Best smartwatch under 2000,Reviewed in India 🇮🇳 on 12 October 2022,This is one of the best smartwatch in the budget range... Its display is amazing and it is more than efficient for outdoor and indoor use. Its almost very accurate.. As they say in the discription it is not a clinical grade smart watch but it is also almost accurate in heartrate and spo2.. Another thing feel in it amazing is its battery life it gets 8-10 days without bt calling.. And gets upto 2-3 days with bluetooth calling.. I mainly use it for cycling and walking.. It is also water resistant for 5-10 minutes continues dipping in water... I found all the features correct that I read in the description. I didnt expect this much quality and features in it... Its bt calling feature is also amazing according to its price...This product is totally amazing....Thankbyou🙏...,5,1
Worth only for attending calls,Reviewed in India 🇮🇳 on 29 August 2022,"I bought boat wave call 10 days back...Touch, accuracy and voice call connections are good ..but intermittently blue disconnected and not able to connect again sometimes ,so mobile app not sync with watch data.. but during that period voice call alone working, data sync and find phone options not working....later i have to uninstall and reinstall app to connect...but after that all the old data will be lost..and it shows wrong time ... Every time have uninstall and reinstall app",3,1
Sensors not working properly. Sleep sensor and heart beat sensor inaccurate. Call facility useless.,Reviewed in India 🇮🇳 on 15 October 2022,Highly inaccurate. Bad software.,3,0
Very useful product,Reviewed in India 🇮🇳 on 18 September 2022,Always before commitment,4,1
Nice,Reviewed in India 🇮🇳 on 19 September 2022,Nice,4,1
Better,Reviewed in India 🇮🇳 on 19 September 2022,Better,4,1
Good Product.,Reviewed in India 🇮🇳 on 18 September 2022,The strap colour is very light and seems faded purple so I or my wife did not like the colour at all but all other things are good.,4,0
Value for money,Reviewed in India 🇮🇳 on 15 September 2022,A beautiful featured smart watch in a reasonably ok price. Looks promising so far.,4,1
Good watch,Reviewed in India 🇮🇳 on 12 September 2022,Watch is Nice but boat is not more featuresEx:-alarm ringtone is not set owned it's only vibrateLike wise so many,4,1
Worst battery,Reviewed in India 🇮🇳 on 5 October 2022,Overall looks good but battery is very poor ...on full charge it shows 10days but it last for 1day only....false statement made by boat,3,0
Average quality,Reviewed in India 🇮🇳 on 14 October 2022,Touch glass is poor quality,3,0
Fits well,Reviewed in India 🇮🇳 on 2 October 2022,The media could not be loaded.,4,0
Not bad,Reviewed in India 🇮🇳 on 15 October 2022,,3,1
Yaa Just OK.  If You're Having A Tight Budget Then It's Ok For U,Reviewed in India 🇮🇳 on 17 October 2022,Juts Ok,3,0
"Battery life is not good, sometime touch is also not working properly",Reviewed in India 🇮🇳 on 2 October 2022,"Battery life is not good in comparison with product description, sometime touch is also not working properly like dial-pad.",3,0
Best Quality,Reviewed in India 🇮🇳 on 28 October 2022,"Boat WaveCall no doubt, is the best budget smartwatch available at this price segment. The watch has a premium feel, it being of complete metal body while other brands would provide plastic case.The app is bug-proof and the touch panel is accurately responsive. There are alot of amazing watch faces which we can choose according to our wish and we can customise the faces tooOverall, no doubt a great smartwatch. A very good product by boAt and I'm completely satisfied by it ☺️",5,1
Great Watch in This Price range,Reviewed in India 🇮🇳 on 9 August 2022,Battery back up is the main issue with this watch. I am expecting 5 to 6 days without Bluetooth Connectedbut there is only 1.5 days battery backup with bluetooth and normally 3 to 4 days.Touch pad is also not that much smoothBut Calling Quality Is best with noise cancellation also.Also all Features are 95% accurate and gives you exact details. If you are using this for fitness and workout than you should go for this one.Built Quality Is Good It Feels Like an Luxery WatchOverall Good Product,4,0
"Good watch for workout, full calling watch",Reviewed in India 🇮🇳 on 22 October 2022,"Apologies for last review,in which I said it's not a calling watch, it's a full calling feature watch, however connecting with call feature is a little bit tricky, you will find solution in FAQ in watch app, its a good watch at this 1699 price, touch is smooth, brightness is good, build quality is nice,Product looks same in real as shown in pictures. Battery backup is fabulous, it drains only 5-10 % in a day.Blutooth quality is good, didn't face any problem in connectivity.Sensors work properly,, overall it's a good purchase if you are looking for a daily use smart watch.Just go for it....",5,1
Average product,Reviewed in India 🇮🇳 on 16 October 2022,Battery performance is low,3,0
Not to buy,Reviewed in India 🇮🇳 on 12 October 2022,"The media could not be loaded.
                



 Their is a two time falt. Two time provided defective product not show on display seen video ...",3,0
Good product,Reviewed in India 🇮🇳 on 13 October 2022,,3,1
Not upto the mark,Reviewed in India 🇮🇳 on 11 October 2022,Display not good,3,0
Product i got have Issue With Bluetooth Disconnecting Ayal length Small Calls  Get Dis Connect,Reviewed in India 🇮🇳 on 10 August 2022,I mainly brought the Product for Monotoring My Activity and some what calls what I liked is Display good Sleep Measurement good Movement measurement like step we covered minutes i moved then calling facility (although it have issues of its own Sometimes connect sometimes not ) then  Things I disliked is Lack.of Support from.Boat Team.Or Manufactures Team The Frequently Bluetooth get disconnected then connected again disconnected which is terrible issue ....Calling fa imong sometimes calls get dropped rarely connect to a call then sitting Idle Reminder is not available which is a big loss in case it's manufacturer putting in mind for health purpose,3,0
Issue to reconnect the samarth watch with mobile device,Reviewed in India 🇮🇳 on 17 September 2022,"Facing issue to reconnect the watch with mobile.I was uninstalled mobile boat wearable app 4 time and reset the watch setting, but not getting the proper solution.Every day watch disconnected and facing the reconnection issue.If any solution please let know.",3,0
Calling futur is not working,Reviewed in India 🇮🇳 on 14 October 2022,"The media could not be loaded.
                



 In this watch calling future is not working but all the future is very good ☺️☺️",3,0
Not that great. It is okay for a 700 Rupees.,Reviewed in India 🇮🇳 on 1 October 2022,"Would be better if the display is amoled.Heart rate monitor: Never trust. When my baby heart is 200 on fever, it show 89. That s the difference.Sound quality is very good",3,0
Good,Reviewed in India 🇮🇳 on 15 October 2022,Good,3,1
Nice,Reviewed in India 🇮🇳 on 17 October 2022,Good,3,1
Good for the price (2k),Reviewed in India 🇮🇳 on 7 October 2022,Can not confirm on accuracy. Did try Steps but was not very happy though it works with delays.,3,1
#Kaamchalau,Reviewed in India 🇮🇳 on 3 October 2022,"Not A Best Product, Just A #Kaamchalau Quality Includes Touch Response, Accuracy, & Looks…",3,0
Really Good Product,Reviewed in India 🇮🇳 on 31 October 2022,""" Trying out Sports function to maintain fitness and accurate sensor working perfectly 6) Watch faces and app connectivity is smooth user friendly1) Heart beat sensor is satisfying Accurate2) Message and Call ringtone sound best via it self speaker3) Very premium out look shining body of watch4) Never feels like wearing very weight less and very smooth5) Many sports mode works accurately very helpfull for my workout session""",5,1
Bluetooth connectivity issue,Reviewed in India 🇮🇳 on 26 September 2022,Its not automatically getting connected to the phones Bluetooth. Everytime you have to uninstall and reinstall the boat wearable app to get connected to the smart watch.,3,0
Music system not working in watch,Reviewed in India 🇮🇳 on 12 October 2022,"The media could not be loaded.
                



 Music system is not working in watchSo I don't like music system in this watch",3,0
Great in this price range But received damaged product,Reviewed in India 🇮🇳 on 2 October 2022,Product was great..but received damaged product....there were scratches on the screen....now i have ordered replacement...,3,0
